URL_citacion,Title,Citation_URL,Authors,Year,Number_of_Citations
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","Prime ministers, the vote of confidence and the management of coalition terminations between...","https://scholar.google.com/scholar?cluster=1931371582390067219&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",The vote of no confidence: towards a framework for analysis,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003397168-3/vote-confidence-towards-framework-analysis-tal-lento-reuven-hazan,"T Lento, RY Hazan",,33
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Parliaments and government termination: understanding the confidence relationship,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003397168-1/parliaments-government-termination-understanding-confidence-relationship-reuven-hazan-bj%C3%B8rn-erik-rasch,"RY Hazan, BE Rasch",,7
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","Dying, surviving death, and reincarnating: differences in government replacements and their explanation",https://www.tandfonline.com/doi/abs/10.1080/01402382.2023.2193492,"A Pedrazzani, F Zucchini",,1
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Parliaments and government termination: understanding the confidence relationship,https://books.google.com/books?hl=en&lr=&id=BqTMEAAAQBAJ&oi=fnd&pg=PA1&ots=zRWGikZJgc&sig=EgfgcNeGqSJ58FzdSRgLKnnofzg,BE Rasch,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Coalitions in Times of Crisis,https://library.oapen.org/bitstream/handle/20.500.12657/85308/1/9781003808985.pdf#page=16,"T Bergman, G Ilonszki, J Hellström",,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Comparing Legislative Powers: A new comparative method focused on legislative operational rules and conventions,https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/98719/FINAL-%20Comparing%20Legislative%20Powers.pdf?sequence=2,C Mullins,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Government-initiated Votes of Confidence in Parliamentary Democracies,https://files.osf.io/v1/resources/yrx7q/providers/osfstorage/65c40b2c435c450b38da7635?format=pdf&action=download&direct&version=1,F Bromo,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",,,,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10","Prime ministers, the vote of confidence and the management of coalition terminations between...","https://scholar.google.com/scholar?cluster=1931371582390067219&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",,,,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=20","Prime ministers, the vote of confidence and the management of coalition terminations between...","https://scholar.google.com/scholar?cluster=1931371582390067219&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=20",,,,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=30","Prime ministers, the vote of confidence and the management of coalition terminations between...","https://scholar.google.com/scholar?cluster=1931371582390067219&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=30",,,,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=40","Prime ministers, the vote of confidence and the management of coalition terminations between...","https://scholar.google.com/scholar?cluster=1931371582390067219&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=1931371582390067219&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=40",,,,,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Prime ministerial tenure in Central and Eastern Europe: The role of party leadership and...,"https://scholar.google.com/scholar?cluster=17614905749017627465&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",How Political Careers affect Prime-Ministerial Performance: Evidence from Central and Eastern Europe,https://journals.sagepub.com/doi/abs/10.1177/0010414021997174,"F Grotz, F Müller",,23
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Cabinet reshuffles and prime-ministerial performance in central and Eastern Europe,https://www.cambridge.org/core/journals/government-and-opposition/article/cabinet-reshuffles-and-primeministerial-performance-in-central-and-eastern-europe/1E89018901487D822AC685DBE50DDF5B,"F Grotz, C Kroeber, M Kukec",,6
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Juggling friends and foes: Prime Minister Borissov's surprise survival in Bulgaria,https://www.tandfonline.com/doi/abs/10.1080/21599165.2021.1883589,"M Spirova, R Sharenkova",,11
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Social transformation and violence: Evidence from US Reconstruction,https://journals.sagepub.com/doi/abs/10.1177/0010414021997164,"MA Stewart, KE Kitchens",,26
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Presidential Elections and European Party Systems (1848–2020),https://www.cambridge.org/core/journals/british-journal-of-political-science/article/presidential-elections-and-european-party-systems-18482020/EBC92B409CD0EBBD9D759BACE1DDFDDA,"FC Bértoa, T Weber",,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Coping with the new party challenge: patterns of prime ministerial survival in Croatia and Slovenia,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003404699-2/coping-new-party-challenge-patterns-prime-ministerial-survival-croatia-slovenia-dario-niki%C4%87-%C4%8Dakar-alenka-kra%C5%A1ovec,"DN Čakar, A Krašovec",,10
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Presidential Elections and European Party Systems (1848–2020),https://nottingham-repository.worktribe.com/output/30108558,"F Casal Bértoa, T Weber",,2
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Potent executives: the electoral strength of prime ministers in Central Eastern Europe,https://www.tandfonline.com/doi/abs/10.1080/21599165.2019.1662400,J Berz,,12
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Introduction: The survival of prime ministers in Central and Eastern European party governments,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003404699-1/introduction-florian-grotz-marko-kukec,"F Grotz, M Kukec",,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Open Access: Juggling friends and foes: Prime Minister Borissov's surprise survival in Bulgaria,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003404699-3/open-access-juggling-friends-foes-prime-minister-borissov-surprise-survival-bulgaria-maria-spirova-radostina-sharenkova-toshkova,"M Spirova, R Sharenkova",,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",,,,,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Prime ministerial tenure in Central and Eastern Europe: The role of party leadership and...,"https://scholar.google.com/scholar?cluster=17614905749017627465&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Prime ministers and party governments in Central and Eastern Europe,https://www.tandfonline.com/doi/abs/10.1080/21599165.2021.1873777,"F Grotz, M Kukec",,3
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Puppets of the president? Prime ministers in post-communist Romania,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003404699-6/puppets-president-prime-ministers-post-communist-romania-lauren%C5%A3iu-%C5%9Ftefan,L Ştefan,,0
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Prime Ministers and Party System Stability in Postcommunist Democracies,https://www.researchgate.net/profile/Till-Weber-3/publication/380233576_Prime_Ministers_and_Party_System_Stability_in_Postcommunist_Democracies/links/66d711c5f84dd1716c7bc938/Prime-Ministers-and-Party-System-Stability-in-Postcommunist-Democracies.pdf,"F Grotz, T Weber",,2
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Puppets of the president? Prime ministers in post-communist Romania,https://www.tandfonline.com/doi/abs/10.1080/21599165.2021.1873779,L Ștefan,,2
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Rekrutierungsmuster und-mechanismen von Regierungsmitgliedern,https://link.springer.com/content/pdf/10.1007/978-3-658-30074-6_69-1.pdf,L Vogel,,5
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Il “decision making” dell'esecutivo.”,https://www.academia.edu/download/63712960/Il_decision-making_dellesecutivo_preview.pdf,M Vercesi,,8
"https://scholar.google.com/scholar?cites=17614905749017627465&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Rekrutierungsmuster und-mechanismen von Regierungsmitgliedern,https://link.springer.com/chapter/10.1007/978-3-658-30071-5_69,L Vogel,,1
